Recipe ID,Recipe Title,Recipe Category,Recipe Ingredients Quantities,Recipe Instructions,Description,Blood Pressure,Blood Sugar,High Cholesterol,Diabetes,Allergies_Meat,Allergies_Eggs,Allergies_Fish,Allergies_Peanuts,Gluten-Free,Lactose-Intolerant,Vegan,Vegetarian
1,Chapati,Bread,"All-Purpose Flour (2 cups), Water (1 cup), Salt (1/2 tsp), Oil (2 tbsp)","1. Mix flour, salt, and water to form a dough. 2. Divide into balls. 3. Roll into flat circles. 4. Cook on a griddle.","Soft and flaky Kenyan flatbread",#,#,#,#,,,,#,
2,Nyama Fry,Meat,"Beef (500g), Soy Sauce (2 tbsp), Garlic (3 cloves), Ginger (1 tsp)","1. Marinate beef in soy sauce, garlic, and ginger. 2. Fry until browned. 3. Serve with a side of vegetables.","Flavorful stir-fried meat dish",#,#,#,#,,,,,#,
3,Ugali,Staple,"Maize Flour (2 cups), Water (3 cups)","1. Boil water. 2. Gradually add maize flour, stirring to avoid lumps. 3. Cook until a thick consistency is achieved.","Staple Kenyan dish made from maize flour",#,#,#,#,,,,#,
4,Sukuma Wiki and Rice,Main Dish,"Sukuma Wiki (200g), Rice (1 cup), Onion (1), Tomatoes (2)","1. Cook rice. 2. Saute onions and tomatoes. 3. Add Sukuma Wiki and stir until cooked. 4. Serve over rice.","Balanced and nutritious meal with greens and rice",#,#,#,#,,,,#,
5,Fish Stew,Seafood,"Tilapia Fillets (4), Coconut Milk (1 cup), Tomatoes (3), Curry Powder (1 tsp)","1. Cook fish in coconut milk. 2. Add tomatoes and curry powder. 3. Simmer until fish is tender.","A flavorful fish stew with a hint of coconut",#,#,#,#,,,,,#,
145,Spinach and Feta Stuffed Chicken,Main Dish,"Chicken Breasts (4), Spinach (2 cups, chopped), Feta Cheese (1/2 cup, crumbled), Garlic (2 cloves, minced), Olive Oil (2 tbsp)","1. Mix chopped spinach, crumbled feta, and minced garlic. 2. Cut a pocket in chicken breasts and stuff with the spinach-feta mixture. 3. Roast until chicken is cooked.","A flavorful and cheesy stuffed chicken breast with spinach and feta",#,#,#,#,#,#,#,#,#,#,
146,Lemon Garlic Shrimp,Pasta,"Shrimp (1 lb, peeled and deveined), Linguine Pasta (8 oz), Garlic (4 cloves, minced), Lemon Zest (1 tbsp), Butter (2 tbsp)","1. Cook linguine pasta. 2. Saute minced garlic in butter. 3. Add shrimp and cook until pink. 4. Toss with cooked pasta and lemon zest.","A delightful pasta dish with succulent shrimp, garlic, and zesty lemon",#,#,#,#,#,#,#,#,#,#,
147,Chickpea Salad,Salad,"Chickpeas (1 can, drained), Cherry Tomatoes (1 cup, halved), Cucumber (1, diced), Red Onion (1/2, finely chopped), Feta Cheese (1/2 cup, crumbled)","1. Combine chickpeas, cherry tomatoes, diced cucumber, chopped red onion, and crumbled feta. 2. Toss with your favorite vinaigrette.","A refreshing and protein-packed chickpea salad with vibrant veggies",#,#,#,#,#,#,#,#,#,#,
148,Mushroom Risotto,Main Dish,"Arborio Rice (1 cup), Mushrooms (8 oz, sliced), Onion (1, finely chopped), White Wine (1/2 cup), Parmesan Cheese (1/2 cup, grated)","1. Saute chopped onion and sliced mushrooms. 2. Add Arborio rice and cook until translucent. 3. Deglaze with white wine. 4. Stir in grated Parmesan until creamy.","A creamy and comforting Italian risotto with savory mushrooms",#,#,#,#,#,#,#,#,#,#,
149,BBQ Chicken Pizza,Bread,"Pizza Dough (1 ball), BBQ Sauce (1/2 cup), Cooked Chicken (1 cup, shredded), Red Onion (1/2, thinly sliced), Mozzarella Cheese (1 cup, shredded)","1. Roll out pizza dough. 2. Spread BBQ sauce, shredded chicken, sliced red onion, and mozzarella. 3. Bake until crust is golden.","A homemade pizza with the smoky flavors of BBQ sauce and tender chicken",#,#,#,#,#,#,#,#,#,#,
150,Stuffed Bell Peppers,Main Dish,"Bell Peppers (4), Ground Beef (1 lb), Rice (1/2 cup, cooked), Black Beans (1/2 cup, cooked), Tomato Sauce (1 cup)","1. Cut and hollow bell peppers. 2. Cook ground beef. 3. Mix beef with cooked rice and black beans. 4. Stuff peppers and bake with tomato sauce.","Bell peppers filled with a hearty mixture of beef, rice, and black beans",#,#,#,#,#,#,#,#,#,#,
151,Caprese Pasta Salad,Salad,"Rotini Pasta (8 oz), Cherry Tomatoes (1 cup, halved), Fresh Mozzarella Balls (1/2 cup), Fresh Basil (1/4 cup, chopped), Balsamic Vinaigrette (2 tbsp)","1. Cook rotini pasta. 2. Mix with halved cherry tomatoes, fresh mozzarella, and chopped basil. 3. Drizzle with balsamic vinaigrette.","A refreshing pasta salad inspired by the classic Caprese flavors",#,#,#,#,#,#,#,#,#,#,
152,Shrimp Scampi,Pasta,"Shrimp (1 lb, peeled and deveined), Linguine Pasta (8 oz), Garlic (5 cloves, minced), White Wine (1/2 cup), Lemon Juice (2 tbsp)","1. Cook linguine pasta. 2. Saute minced garlic in olive oil. 3. Add shrimp and cook. 4. Deglaze with white wine and finish with lemon juice.","A garlicky and flavorful shrimp pasta with a hint of white wine",#,#,#,#,#,#,#,#,#,#,
153,Mango Salsa Chicken,Main Dish,"Chicken Breasts (4), Mangoes (2, diced), Red Bell Pepper (1, diced), Red Onion (1/2, finely chopped), Lime Juice (2 tbsp)","1. Grill chicken breasts. 2. Mix diced mangoes, red bell pepper, red onion, and lime juice for salsa. 3. Serve salsa over grilled chicken.","Grilled chicken topped with a refreshing mango salsa",#,#,#,#,#,#,#,#,#,#,
154,Pesto Tortellini,Main Dish,"Cheese Tortellini (1 lb), Cherry Tomatoes (1 cup, halved), Pesto Sauce (1/2 cup), Pine Nuts (2 tbsp, toasted), Parmesan Cheese (1/4 cup, grated)","1. Cook tortellini. 2. Toss with halved cherry tomatoes, pesto sauce, and toasted pine nuts. 3. Garnish with grated Parmesan.","A quick and flavorful tortellini dish with vibrant pesto and tomatoes",#,#,#,#,#,#,#,#,#,#,
155,Banana Walnut Bread,Dessert,"Bananas (3, mashed), Flour (2 cups), Sugar (1 cup), Eggs (2), Walnuts (1 cup, chopped), Baking Soda (1 tsp)","1. Mix mashed bananas, flour, sugar, eggs, chopped walnuts, and baking soda. 2. Bake until golden and a toothpick comes out clean.","A classic banana walnut bread with a perfect blend of sweetness and crunch",#,#,#,#,#,#,#,#,#,#,
156,Chicken Alfredo,Pasta,"Fettuccine Pasta (8 oz), Chicken Breast (2, boneless and skinless), Heavy Cream (1 cup), Parmesan Cheese (1 cup, grated), Garlic (3 cloves, minced)","1. Cook fettuccine pasta. 2. Season and grill chicken breasts. 3. In a pan, heat heavy cream and add minced garlic. 4. Stir in grated Parmesan until creamy. 5. Slice grilled chicken and serve over Alfredo sauce.","Creamy and indulgent Chicken Alfredo pasta with grilled chicken slices",#,#,#,#,#,#,#,#,#,#,
157,Greek Salad,Salad,"Romaine Lettuce (1 head, chopped), Cucumber (1, sliced), Kalamata Olives (1/2 cup), Feta Cheese (1/2 cup, crumbled), Cherry Tomatoes (1 cup, halved), Greek Dressing (3 tbsp)","1. Combine chopped Romaine lettuce, sliced cucumber, Kalamata olives, crumbled feta, and halved cherry tomatoes. 2. Drizzle with Greek dressing.","A refreshing Greek salad with crisp veggies, olives, and tangy feta",#,#,#,#,#,#,#,#,#,#,
158,Beef Tacos,Main Dish,"Ground Beef (1 lb), Taco Seasoning (1 packet), Taco Shells (8), Lettuce (1 cup, shredded), Cheddar Cheese (1 cup, shredded), Tomatoes (2, diced), Sour Cream (1/2 cup)","1. Brown ground beef and add taco seasoning. 2. Fill taco shells with seasoned beef, shredded lettuce, diced tomatoes, shredded cheddar, and a dollop of sour cream.","Classic beef tacos with all the delicious toppings for a flavorful bite",#,#,#,#,#,#,#,#,#,#,
159,Quinoa Salad,Salad,"Quinoa (1 cup, cooked), Chickpeas (1 can, drained), Cucumber (1, diced), Red Bell Pepper (1, diced), Feta Cheese (1/2 cup, crumbled), Red Onion (1/4 cup, finely chopped), Lemon Vinaigrette (2 tbsp)","1. Cook quinoa. 2. Combine cooked quinoa, chickpeas, diced cucumber, diced red bell pepper, crumbled feta, and chopped red onion. 3. Drizzle with lemon vinaigrette.","A nutritious and protein-packed quinoa salad with vibrant veggies",#,#,#,#,#,#,#,#,#,#,
160,Chicken Fajitas,Main Dish,"Chicken Thighs (1 lb, boneless and skinless), Bell Peppers (2, sliced), Onion (1, sliced), Fajita Seasoning (2 tbsp), Flour Tortillas (8)","1. Season and grill chicken thighs. 2. Saute sliced bell peppers and onions with fajita seasoning. 3. Slice grilled chicken and serve with sauteed veggies in warm flour tortillas.","Flavorful chicken fajitas with tender chicken and colorful veggies",#,#,#,#,#,#,#,#,#,#,
161,Caprese Stuffed Chicken,Main Dish,"Chicken Breasts (4), Fresh Mozzarella (4 slices), Cherry Tomatoes (1 cup, halved), Fresh Basil (1/4 cup, chopped), Balsamic Glaze (2 tbsp)","1. Cut a pocket in chicken breasts. 2. Stuff with fresh mozzarella, halved cherry tomatoes, and chopped basil. 3. Bake and drizzle with balsamic glaze.","Chicken breasts stuffed with Caprese ingredients for a delightful twist",#,#,#,#,#,#,#,#,#,#,
162,Vegetable Stir-Fry,Main Dish,"Mixed Vegetables (3 cups, broccoli, bell peppers, snap peas), Tofu (1 cup, cubed), Soy Sauce (2 tbsp), Ginger (1 tsp, minced), Garlic (2 cloves, minced), Sesame Oil (1 tbsp)","1. Stir-fry mixed vegetables and tofu in sesame oil. 2. Add minced ginger and garlic. 3. Drizzle with soy sauce.","A quick and healthy vegetable stir-fry with tofu and Asian flavors",#,#,#,#,#,#,#,#,#,#,
163,Pesto Chicken Pasta,Pasta,"Penne Pasta (8 oz), Chicken Breast (2, boneless and skinless), Pesto Sauce (1/2 cup), Cherry Tomatoes (1 cup, halved), Parmesan Cheese (1/4 cup, grated)","1. Cook penne pasta. 2. Grill chicken breasts and slice. 3. Toss cooked pasta with pesto, sliced chicken, and halved cherry tomatoes. 4. Garnish with grated Parmesan.","A vibrant pesto pasta with grilled chicken and cherry tomatoes",#,#,#,#,#,#,#,#,#,#,
164,Vegan Buddha Bowl,Main Dish,"Quinoa (1 cup, cooked), Chickpeas (1 can, roasted), Sweet Potato (1, roasted), Avocado (1, sliced), Kale (2 cups, massaged), Tahini Dressing (2 tbsp)","1. Arrange quinoa, roasted chickpeas, roasted sweet potato, sliced avocado, and massaged kale in a bowl. 2. Drizzle with tahini dressing.","A nourishing vegan Buddha bowl with a variety of wholesome ingredients",#,#,#,#,#,#,#,#,#,#,
165,Shrimp and Broccoli Stir-Fry,Main Dish,"Shrimp (1 lb, peeled and deveined), Broccoli Florets (3 cups), Soy Sauce (2 tbsp), Hoisin Sauce (1 tbsp), Garlic (3 cloves, minced), Ginger (1 tsp, minced)","1. Stir-fry shrimp and broccoli in a mix of soy sauce and hoisin sauce. 2. Add minced garlic and ginger.","A quick and tasty shrimp and broccoli stir-fry with Asian-inspired flavors",#,#,#,#,#,#,#,#,#,#,
166,Mediterranean Chickpea Salad,Salad,"Chickpeas (1 can, drained), Cherry Tomatoes (1 cup, halved), Cucumber (1, diced), Red Onion (1/4 cup, finely chopped), Kalamata Olives (1/2 cup, sliced), Feta Cheese (1/2 cup, crumbled), Greek Dressing (3 tbsp)","1. Combine chickpeas, cherry tomatoes, diced cucumber, chopped red onion, sliced Kalamata olives, and crumbled feta. 2. Drizzle with Greek dressing.","A refreshing and protein-packed Mediterranean chickpea salad",#,#,#,#,#,#,#,#,#,#,
167,Spinach and Feta Stuffed Chicken,Main Dish,"Chicken Breasts (4), Baby Spinach (2 cups, chopped), Feta Cheese (1/2 cup, crumbled), Garlic (3 cloves, minced), Olive Oil (2 tbsp)","1. Make a pocket in chicken breasts. 2. Stuff with chopped baby spinach, crumbled feta, and minced garlic. 3. Drizzle with olive oil and bake.","Juicy chicken breasts stuffed with spinach and feta for a flavorful meal",#,#,#,#,#,#,#,#,#,#,
168,Vegetarian Tacos,Main Dish,"Black Beans (1 can, drained), Corn Tortillas (8), Avocado (1, sliced), Salsa (1 cup), Red Cabbage (1 cup, shredded), Cilantro (1/4 cup, chopped)","1. Warm black beans. 2. Fill corn tortillas with black beans, sliced avocado, salsa, shredded red cabbage, and chopped cilantro.","Delicious and satisfying vegetarian tacos with vibrant toppings",#,#,#,#,#,#,#,#,#,#,
169,Teriyaki Salmon,Baked Goods,"Salmon Fillets (4), Teriyaki Sauce (1/2 cup), Garlic (2 cloves, minced), Ginger (1 tsp, minced), Green Onions (1/4 cup, chopped)","1. Marinate salmon fillets in teriyaki sauce, minced garlic, and minced ginger. 2. Bake until salmon is flaky. 3. Garnish with chopped green onions.","Succulent teriyaki-glazed salmon with a hint of garlic and ginger",#,#,#,#,#,#,#,#,#,#,
170,Avocado Egg Salad,Salad,"Hard-Boiled Eggs (6, chopped), Avocado (2, mashed), Red Onion (1/4 cup, finely chopped), Dijon Mustard (1 tbsp), Greek Yogurt (2 tbsp), Lemon Juice (1 tbsp)","1. Mix chopped hard-boiled eggs with mashed avocado, chopped red onion, Dijon mustard, Greek yogurt, and lemon juice.","A creamy and nutritious avocado egg salad with a zesty twist",#,#,#,#,#,#,#,#,#,#,
171,Spaghetti Aglio e Olio,Pasta,"Spaghetti (8 oz), Garlic (4 cloves, thinly sliced), Red Pepper Flakes (1/2 tsp), Olive Oil (1/2 cup), Parsley (1/4 cup, chopped), Parmesan Cheese (1/4 cup, grated)","1. Cook spaghetti. 2. Saute thinly sliced garlic and red pepper flakes in olive oil. 3. Toss cooked spaghetti in the garlic-infused oil. 4. Garnish with chopped parsley and grated Parmesan.","A simple yet flavorful spaghetti dish with garlic, olive oil, and a kick of red pepper flakes",#,#,#,#,#,#,#,#,#,#,
172,Chicken Caesar Salad,Salad,"Chicken Breast (2, grilled and sliced), Romaine Lettuce (1 head, chopped), Croutons (1 cup), Parmesan Cheese (1/2 cup, shaved), Caesar Dressing (1/4 cup)","1. Grill and slice chicken breasts. 2. Toss chopped Romaine lettuce with croutons, shaved Parmesan, and grilled chicken. 3. Drizzle with Caesar dressing.","Classic Chicken Caesar salad with grilled chicken, crisp lettuce, and Parmesan",#,#,#,#,#,#,#,#,#,#,
173,Stuffed Bell Peppers,Vegetarian,"Bell Peppers (4, halved and cleaned), Quinoa (1 cup, cooked), Black Beans (1 can, drained), Corn (1 cup, frozen), Salsa (1/2 cup), Taco Seasoning (1 tbsp), Cheddar Cheese (1 cup, shredded)","1. Mix cooked quinoa, black beans, frozen corn, salsa, taco seasoning, and shredded cheddar. 2. Stuff bell peppers with the quinoa mixture. 3. Bake until peppers are tender.","Colorful and flavorful vegetarian stuffed bell peppers with quinoa and beans",#,#,#,#,#,#,#,#,#,#,
174,Salmon Poke Bowl,Main Dish,"Sushi Rice (2 cups, cooked), Salmon Sashimi (1/2 lb, cubed), Avocado (1, sliced), Cucumber (1, julienned), Edamame (1/2 cup, steamed), Soy Sauce (2 tbsp), Sesame Oil (1 tbsp)","1. Arrange sushi rice in a bowl. 2. Top with cubed salmon, sliced avocado, julienned cucumber, and steamed edamame. 3. Drizzle with soy sauce and sesame oil.","A fresh and satisfying salmon poke bowl with a medley of flavors",#,#,#,#,#,#,#,#,#,#,
175,Garlic Butter Shrimp,Pasta,"Shrimp (1 lb, peeled and deveined), Linguine Pasta (8 oz), Garlic (4 cloves, minced), Butter (1/2 cup), Parsley (1/4 cup, chopped), Red Pepper Flakes (1/2 tsp)","1. Cook linguine pasta. 2. Saute minced garlic in butter. 3. Add shrimp and cook until pink. 4. Toss cooked pasta with garlic butter shrimp. 5. Garnish with chopped parsley and red pepper flakes.","Luscious garlic butter shrimp served over perfectly cooked linguine pasta",#,#,#,#,#,#,#,#,#,#,
176,Greek Salad,Salad,"Cucumbers (2, diced), Tomatoes (2, diced), Red Onion (1/2, thinly sliced), Kalamata Olives (1/2 cup), Feta Cheese (1/2 cup, crumbled), Olive Oil (3 tbsp), Red Wine Vinegar (2 tbsp), Oregano (1 tsp)","1. Combine diced cucumbers, tomatoes, thinly sliced red onion, Kalamata olives, and crumbled feta. 2. Drizzle with olive oil and red wine vinegar. 3. Sprinkle with oregano.","A refreshing Greek salad with crisp veggies, olives, and feta",#,#,#,#,#,#,#,#,#,#,
177,Teriyaki Tofu Stir-Fry,Vegetarian,"Extra-Firm Tofu (14 oz, cubed), Broccoli (1 head, florets), Bell Peppers (2, sliced), Snow Peas (1 cup), Carrots (2, julienned), Teriyaki Sauce (1/2 cup), Sesame Seeds (2 tbsp)","1. Stir-fry cubed tofu until golden. 2. Add broccoli, sliced bell peppers, snow peas, and julienned carrots. 3. Pour teriyaki sauce over the stir-fry. 4. Garnish with sesame seeds.","A flavorful and protein-packed teriyaki tofu stir-fry with vibrant veggies",#,#,#,#,#,#,#,#,#,#,
178,Caprese Bruschetta,Appetizer,"Baguette (1, sliced), Tomatoes (4, diced), Fresh Mozzarella (1 cup, diced), Basil (1/2 cup, chopped), Balsamic Glaze (2 tbsp), Olive Oil (2 tbsp)","1. Toast baguette slices. 2. Mix diced tomatoes, fresh mozzarella, and chopped basil. 3. Spoon the mixture onto the baguette slices. 4. Drizzle with balsamic glaze and olive oil.","A delightful twist on classic bruschetta with Caprese flavors",#,#,#,#,#,#,#,#,#,#,
179,Mushroom Risotto,Main Dish,"Arborio Rice (1 cup), Mushrooms (8 oz, sliced), Onion (1, finely chopped), Garlic (2 cloves, minced), White Wine (1/2 cup), Vegetable Broth (4 cups, warm), Parmesan Cheese (1/2 cup, grated), Butter (2 tbsp)","1. Saute chopped onion and minced garlic. 2. Add Arborio rice and sliced mushrooms. 3. Pour in white wine and cook until absorbed. 4. Gradually add warm vegetable broth until the rice is creamy. 5. Stir in grated Parmesan and butter.","Creamy mushroom risotto with Arborio rice and Parmesan",#,#,#,#,#,#,#,#,#,#,
180,Cajun Shrimp and Quinoa,Main Dish,"Shrimp (1 lb, peeled and deveined), Quinoa (1 cup, cooked), Cajun Seasoning (2 tbsp), Bell Peppers (2, sliced), Red Onion (1, sliced), Olive Oil (2 tbsp)","1. Toss shrimp with Cajun seasoning. 2. Saute sliced bell peppers and red onion in olive oil. 3. Add Cajun-seasoned shrimp and cook until pink. 4. Serve over cooked quinoa.","Spicy Cajun shrimp served over a bed of fluffy quinoa",#,#,#,#,#,#,#,#,#,#,
181,Caprese Pasta Salad,Salad,"Rotini Pasta (8 oz, cooked), Cherry Tomatoes (1 pint, halved), Fresh Mozzarella (1 cup, diced), Fresh Basil (1/2 cup, chopped), Balsamic Vinaigrette (1/4 cup), Olive Oil (2 tbsp)","1. Cook rotini pasta. 2. Mix cooked pasta with halved cherry tomatoes, diced fresh mozzarella, and chopped fresh basil. 3. Drizzle with balsamic vinaigrette and olive oil.","A vibrant and flavorful Caprese-inspired pasta salad",#,#,#,#,#,#,#,#,#,#,
182,Sweet Potato and Black Bean Tacos,Vegetarian,"Sweet Potatoes (2, peeled and diced), Black Beans (1 can, drained), Red Onion (1, finely chopped), Cilantro (1/4 cup, chopped), Lime Juice (2 tbsp), Taco Seasoning (1 tbsp), Corn Tortillas (8)","1. Roast sweet potatoes until tender. 2. Mix black beans, chopped red onion, chopped cilantro, lime juice, and taco seasoning. 3. Fill corn tortillas with the sweet potato and black bean mixture.","Hearty and flavorful vegetarian tacos with sweet potatoes and black beans",#,#,#,#,#,#,#,#,#,#,
183,Lemon Garlic Herb Chicken,Main Dish,"Chicken Thighs (4), Lemon (1, sliced), Garlic (4 cloves, minced), Fresh Rosemary (2 tbsp, chopped), Olive Oil (2 tbsp), Salt and Pepper (to taste)","1. Season chicken thighs with minced garlic, chopped fresh rosemary, olive oil, salt, and pepper. 2. Place lemon slices on top. 3. Bake until chicken is golden and cooked through.","Juicy and aromatic lemon garlic herb chicken thighs",#,#,#,#,#,#,#,#,#,#,
184,Greek Yogurt Parfait,Dessert,"Greek Yogurt (2 cups), Granola (1 cup), Mixed Berries (1 cup), Honey (2 tbsp)","1. Layer Greek yogurt, granola, and mixed berries in a glass. 2. Drizzle with honey. 3. Repeat layers as desired.","A wholesome and delicious Greek yogurt parfait with fresh berries",#,#,#,#,#,#,#,#,#,#,
185,Sesame Ginger Tofu Stir-Fry,Vegetarian,"Extra-Firm Tofu (14 oz, cubed), Broccoli (1 head, florets), Snow Peas (1 cup), Carrots (2, julienned), Soy Sauce (3 tbsp), Sesame Oil (1 tbsp), Ginger (1 tbsp, minced), Garlic (2 cloves, minced)","1. Stir-fry cubed tofu until golden. 2. Add broccoli, snow peas, julienned carrots, minced ginger, and minced garlic. 3. Pour soy sauce and sesame oil over the stir-fry.","A flavorful and satisfying sesame ginger tofu stir-fry with crunchy veggies",#,#,#,#,#,#,#,#,#,#,
186,Quinoa and Black Bean Stuffed Peppers,Vegetarian,"Quinoa (1 cup, cooked), Black Beans (1 can, drained), Bell Peppers (4), Onion (1, diced), Corn (1 cup, cooked), Cumin (1 tsp), Chili Powder (1 tsp), Shredded Cheese (1/2 cup)","1. Preheat oven to 375°F. 2. Cut bell peppers in half and remove seeds. 3. In a bowl, mix cooked quinoa, black beans, diced onion, corn, cumin, and chili powder. 4. Stuff each pepper half with the quinoa mixture. 5. Top with shredded cheese. 6. Bake until peppers are tender and cheese is melted.","Vegetarian stuffed peppers filled with quinoa, black beans, and flavorful spices",#,#,#,#,#,#,#,#,#,#,
187,Crispy Baked Zucchini Fries,Appetizer,"Zucchini (2, cut into fries), Panko Bread Crumbs (1 cup), Parmesan Cheese (1/2 cup, grated), Egg (2, beaten), Italian Seasoning (1 tsp), Marinara Sauce (for dipping)","1. Preheat oven to 425°F. 2. Dip zucchini fries in beaten egg. 3. Coat with a mixture of Panko bread crumbs, grated Parmesan, and Italian seasoning. 4. Place on a baking sheet and bake until crispy. 5. Serve with marinara sauce for dipping.","Delicious and healthy crispy baked zucchini fries with a golden crust",#,#,#,#,#,#,#,#,#,#,
188,Spinach and Feta Stuffed Chicken Breast,Main Dish,"Chicken Breasts (4), Spinach (2 cups, cooked and chopped), Feta Cheese (1/2 cup, crumbled), Garlic (3 cloves, minced), Olive Oil (2 tbsp), Salt and Pepper (to taste)","1. Preheat oven to 375°F. 2. Make a pocket in each chicken breast. 3. In a bowl, mix cooked and chopped spinach, crumbled feta, minced garlic, salt, and pepper. 4. Stuff each chicken breast with the spinach and feta mixture. 5. Sear in olive oil, then bake until chicken is cooked through.","Juicy chicken breasts stuffed with a savory mixture of spinach and feta",#,#,#,#,#,#,#,#,#,#,
189,Avocado and Black Bean Salad,Salad,"Black Beans (1 can, drained), Avocado (2, diced), Corn (1 cup, cooked), Red Onion (1/2, finely chopped), Cilantro (1/4 cup, chopped), Lime Juice (2 tbsp), Olive Oil (2 tbsp), Salt and Pepper (to taste)","1. In a bowl, combine black beans, diced avocado, cooked corn, chopped red onion, and chopped cilantro. 2. Drizzle with lime juice and olive oil. 3. Season with salt and pepper.","A refreshing salad with black beans, avocado, and a zesty lime dressing",#,#,#,#,#,#,#,#,#,#,
190,Chicken Alfredo Pasta,Main Dish,"Fettuccine Pasta (8 oz, cooked), Chicken Breasts (2, cooked and sliced), Heavy Cream (1 cup), Parmesan Cheese (1 cup, grated), Butter (2 tbsp), Garlic (3 cloves, minced), Salt and Pepper (to taste)","1. Cook fettuccine pasta. 2. In a saucepan, melt butter and sauté minced garlic. 3. Pour in heavy cream and bring to a simmer. 4. Stir in grated Parmesan until the sauce is smooth. 5. Toss cooked pasta with the Alfredo sauce. 6. Top with sliced cooked chicken breasts. 7. Season with salt and pepper.","Creamy and indulgent chicken Alfredo pasta with homemade Alfredo sauce",#,#,#,#,#,#,#,#,#,#,
191,Mango Salsa,Appetizer,"Mango (2, diced), Red Bell Pepper (1, diced), Red Onion (1/2, finely chopped), Jalapeño (1, seeded and minced), Cilantro (1/4 cup, chopped), Lime Juice (2 tbsp), Salt (1/2 tsp)","1. In a bowl, combine diced mango, diced red bell pepper, finely chopped red onion, minced jalapeño, and chopped cilantro. 2. Drizzle with lime juice. 3. Season with salt.","A sweet and spicy mango salsa with vibrant colors and flavors",#,#,#,#,#,#,#,#,#,#,
192,Shrimp Scampi with Linguine,Seafood,"Linguine Pasta (8 oz, cooked), Shrimp (1 lb, peeled and deveined), White Wine (1/2 cup), Garlic (4 cloves, minced), Lemon Juice (2 tbsp), Red Pepper Flakes (1/2 tsp), Parsley (1/4 cup, chopped), Olive Oil (3 tbsp)","1. Cook linguine pasta. 2. In a skillet, sauté minced garlic in olive oil. 3. Add shrimp and cook until pink. 4. Pour in white wine and lemon juice. 5. Toss cooked pasta with shrimp, white wine sauce, and red pepper flakes. 6. Garnish with chopped parsley.","A classic shrimp scampi served over linguine with a flavorful white wine sauce",#,#,#,#,#,#,#,#,#,#,
193,Stuffed Portobello Mushrooms,Appetizer,"Portobello Mushrooms (4), Spinach (2 cups, cooked and chopped), Feta Cheese (1/2 cup, crumbled), Garlic (3 cloves, minced), Balsamic Glaze (2 tbsp), Olive Oil (2 tbsp), Salt and Pepper (to taste)","1. Preheat oven to 375°F. 2. Remove stems from portobello mushrooms. 3. In a bowl, mix cooked and chopped spinach, crumbled feta, minced garlic, salt, and pepper. 4. Stuff each mushroom cap with the spinach and feta mixture. 5. Drizzle with balsamic glaze and olive oil. 6. Bake until mushrooms are tender.","Savory stuffed portobello mushrooms with spinach, feta, and balsamic glaze",#,#,#,#,#,#,#,#,#,#,
194,Lemon Blueberry Pancakes,Breakfast,"Pancake Mix (2 cups), Milk (1 1/2 cups), Eggs (2), Lemon Zest (1 tbsp), Blueberries (1 cup), Butter (for cooking)","1. In a bowl, mix pancake mix, milk, eggs, and lemon zest. 2. Gently fold in blueberries. 3. Cook pancakes on a griddle with butter.","Fluffy and flavorful lemon blueberry pancakes for a delightful breakfast",#,#,#,#,#,#,#,#,#,#,
195,Baked Salmon with Dill,Seafood,"Salmon Fillets (4), Fresh Dill (1/4 cup, chopped), Lemon (1, sliced), Olive Oil (2 tbsp), Salt and Pepper (to taste)","1. Preheat oven to 400°F. 2. Place salmon fillets on a baking sheet. 3. Rub with olive oil and season with chopped fresh dill, salt, and pepper. 4. Top with lemon slices. 5. Bake until salmon is flaky.","Healthy and delicious baked salmon with a zesty dill seasoning",#,#,#,#,#,#,#,#,#,#,
